run,family,direction,method,mean,ci95,sd,median,n_frames,n_tasks
rep_object,cover,inject,color,-0.0038027691957756384,"[-0.05781289685229935, 0.06706586385472478]",0.3664910832462319,-0.0222911557071991,59,10
rep_object,cover,inject,rand_sel_same_norm,0.07021932246419003,"[0.006269019696916309, 0.15428043276746195]",0.30229673778663513,0.015226296980432864,59,10
rep_object,cover,inject,attr,0.895497201963139,"[0.4597101332890351, 1.406580846823949]",1.4405784777640915,0.4552394636949453,59,10
rep_object,cover,inject,attr_xtask,0.7790233056704414,"[0.3820828061977783, 1.2878951495743645]",1.855301181788097,0.3779766313056099,59,10
rep_object,cover,inject,rand_attr_same_norm,0.0320580572823131,"[-0.020890090773217768, 0.08689650876418648]",0.15649914378960397,0.021323895544360698,59,10
rep_object,cover,inject,rand_attr_raw,0.08449581410007856,"[0.05702465952714812, 0.11066547252434256]",0.18325775414373313,0.0489957587869294,59,10
rep_object,cover,inject,all_tc,47.68305407627279,"[43.8707993832661, 51.80620015073614]",18.444515414774468,49.59608878525599,59,10
rep_object,cover,inject,tc_error,6.497458916648271,"[3.6453841102615994, 9.27757702914282]",17.884242489386047,7.633548323353267,59,10
rep_object,cover,inject,mlp_ceiling,74.06697347740247,"[69.82561134381613, 78.69956473531525]",15.402516357521998,76.52916623763704,59,10
rep_object,cover,inject,single_attr_0,-0.002619385192811295,"[-0.007993641019441364, 0.0]",0.014485427121363983,0.0,59,10
rep_object,cover,inject,single_attr_1,-0.000709217941083878,"[-0.002164337509859421, 0.0]",0.005447606372468558,0.0,59,10
rep_object,cover,inject,single_attr_2,0.0014791309946402735,"[-0.011534937323491255, 0.015610833020833418]",0.06884306295145291,0.0,59,10
rep_object,cover,remove,sel_capped,1.9726831306516515,"[0.8806177515792394, 3.6534746707152177]",4.241479651561265,0.6641760021171672,59,10
rep_object,cover,remove,attr,7.118235053567984,"[3.0140013707209614, 12.412770262623974]",12.149095161487967,2.340134386898129,59,10
rep_object,cover,remove,rand_attr_same_norm,0.0490327177363826,"[-0.26454975080768023, 0.30324183968544494]",1.3686345571513787,0.04993062676219943,59,10
rep_object,cover,remove,mlp_ceiling,75.71260262827505,"[71.72006460229616, 79.84002788068615]",16.102111021708282,77.60278572639922,59,10
rep_object,paint,inject,sel_capped,-0.44987225766882405,"[-1.4224114885492138, 0.23126758882333576]",3.250105663587234,0.1678084871438723,48,10
rep_object,paint,inject,rand_sel_same_norm,0.033921379226822264,"[0.00018630135470039237, 0.06432328574938205]",0.1319523581953181,0.0362355920708453,48,10
rep_object,paint,inject,attr,2.3997194918606675,"[0.8616773039613929, 3.9566010696090834]",5.935279523019455,1.834530842390175,48,10
rep_object,paint,inject,rand_attr_same_norm,0.15250784116095634,"[0.06818643563732478, 0.251880840249668]",0.4023534967800258,0.18842558327133624,48,10
rep_object,paint,inject,all_tc,45.64735556320992,"[38.197117720902575, 52.68350892926131]",23.928211507537586,50.862119845314425,48,10
rep_object,paint,inject,mlp_ceiling,74.88688717836145,"[68.07492877873815, 81.7826676444267]",27.51715223099998,88.00017303843975,48,10
rep_object,paint,remove,sel_capped,0.1907986910649945,"[-0.6389159659521565, 1.2620481082181274]",2.697722128027331,0.2892222130388921,48,10
rep_object,paint,remove,attr,18.634528115206425,"[9.47932043443473, 29.648070121653898]",24.084587181510905,7.238836381782593,48,10
rep_object,paint,remove,rand_attr_same_norm,0.06939701722391299,"[-1.0283040914632453, 0.9787048702026777]",3.0537153123625815,0.13344784559964906,48,10
rep_object,paint,remove,mlp_ceiling,81.42570718408881,"[76.60815232935445, 85.93106513708587]",23.74187116284187,92.53508759917493,48,10
